HeldOutRegion,Method,N_test,Transfer_NDCG@10%,Transfer_Precision@10%,Transfer_Spearman,Transfer_KendallTau
Americas,PRIME-EV,1986,0.996737096109685,0.9040404040404041,0.9387026899515245,0.7934965412801449
Americas,MultiObjective_WeightedSum,1986,0.9886125086514611,0.8232323232323232,0.8907844408718002,0.7144474799668206
Americas,Pareto_BalancedSort,1986,0.963264351887479,0.6363636363636364,0.8388055681584651,0.6438349318906208
Americas,AHP,1986,0.9916233271527433,0.8434343434343434,0.8717859398588315,0.6923918701323325
Americas,TOPSIS,1986,0.9914178992754727,0.8333333333333334,0.7469535283121672,0.5649881665360293
Americas,VIKOR,1986,0.9839676768573042,0.7777777777777778,0.8106010662686828,0.6221222330850449
Americas,WASPAS,1986,0.9580338762014268,0.6111111111111112,0.8398549608120592,0.6481577592264237
Americas,SAW_EqualWeights,1986,0.9416358606188102,0.5656565656565656,0.8487637143161814,0.6558113342516
Americas,GradientBoostedRanker,1986,0.9864748140569184,0.8131313131313131,0.9478773656352573,0.8043309352615317
Americas,RandomForestRanker,1986,0.9781591516563757,0.7777777777777778,0.9379047065866136,0.7860247960526674
Americas,RidgeLinearRanker,1986,0.9781558193065212,0.7626262626262627,0.9121941144534683,0.7441282935206395
Americas,ShallowTreeRanker,1986,0.8951242049327512,0.5707070707070707,0.7274010119941413,0.537653444253785
Americas,DemandCapacityHeuristic,1986,0.9508094359120394,0.6818181818181818,0.5443058018906777,0.3835000855354016
Americas,CostAccessHeuristic,1986,0.7921097733034274,0.18181818181818182,0.38656482652512525,0.2649163697841924
Americas,QualityGreenHeuristic,1986,0.8083153045503224,0.2222222222222222,0.5149110738180329,0.3579329553618532
Americas,KMeansRepresentative,1986,0.6655164194094879,0.03535353535353535,-0.11540402052258457,-0.07688124174003921
Americas,CostOnly,1986,0.7525055674030812,0.1717171717171717,0.2592804106244207,0.17700549948962455
Americas,DistanceOnly,1986,0.7446587446145863,0.14646464646464646,0.2998952379661445,0.2029122007597923
Americas,DemandOnly,1986,0.7621642488265554,0.29292929292929293,0.3150027756279663,0.21919010398450323
Americas,CapacityOnly,1986,0.8010837694489554,0.3333333333333333,0.5145379114693313,0.39995409345855476
Americas,RatingOnly,1986,0.7626312921392215,0.17676767676767677,0.36173804421317846,0.25143993535299813
Americas,RenewableOnly,1986,0.7345274739565618,0.13636363636363635,0.3853726276498532,0.3147346412765688
Americas,OldestFirst,1986,0.696906052889809,0.11616161616161616,-0.03923319712698537,-0.02706565607907322
Americas,Random,1986,0.6819740349461815,0.10606060606060606,0.0008571570528164896,0.00047333855882867736
Asia_Oceania,PRIME-EV,1715,0.9968869635831342,0.9005847953216374,0.9367714727584231,0.7930689128460184
Asia_Oceania,MultiObjective_WeightedSum,1715,0.9863034482521091,0.7777777777777778,0.8942463437545952,0.7177597626815352
Asia_Oceania,Pareto_BalancedSort,1715,0.9656841604390883,0.6140350877192983,0.8366195805658031,0.6415756111487341
Asia_Oceania,AHP,1715,0.9896019912423473,0.8011695906432749,0.8749192338838496,0.6954916620429188
Asia_Oceania,TOPSIS,1715,0.9897845000597599,0.8362573099415205,0.7488238382720797,0.5679497603342053
Asia_Oceania,VIKOR,1715,0.9876580889571984,0.8011695906432749,0.8223510014886299,0.6383251891134278
Asia_Oceania,WASPAS,1715,0.9515806964265294,0.5730994152046783,0.8332447301704083,0.6404679691513211
Asia_Oceania,SAW_EqualWeights,1715,0.9482724267039345,0.5730994152046783,0.855217651463886,0.6656753443094738
Asia_Oceania,GradientBoostedRanker,1715,0.9889720921793211,0.8187134502923976,0.9591451372793376,0.8259425032053075
Asia_Oceania,RandomForestRanker,1715,0.9822977483932938,0.8070175438596491,0.9449608584281356,0.7945035571569142
Asia_Oceania,RidgeLinearRanker,1715,0.9770216377713085,0.7309941520467836,0.9143461686790336,0.7456487645900166
Asia_Oceania,ShallowTreeRanker,1715,0.901843820706382,0.5906432748538012,0.7298982921552589,0.5415301461059607
Asia_Oceania,DemandCapacityHeuristic,1715,0.9468638564055017,0.6900584795321637,0.5400021607835547,0.3805542023777162
